event_name,participant_id,task,time,treatment
attempts,87f363fcff,1,1635230574,Ghc
start,87f363fcff,1,1635230574,Ghc
attempts,87f363fcff,1,1635230610,Ghc
complete,87f363fcff,1,1635230611,Ghc
start,87f363fcff,2,1635230611,Chameleon
attempts,87f363fcff,2,1635230644,Chameleon
complete,87f363fcff,2,1635230645,Chameleon
start,87f363fcff,3,1635230645,Ghc
attempts,87f363fcff,3,1635230660,Ghc
complete,87f363fcff,3,1635230661,Ghc
attempts,87f363fcff,4,1635230664,Chameleon
start,87f363fcff,4,1635230661,Chameleon
attempts,87f363fcff,4,1635230686,Chameleon
complete,87f363fcff,4,1635230687,Chameleon
start,87f363fcff,5,1635230687,Ghc
attempts,87f363fcff,5,1635230705,Ghc
skip,87f363fcff,5,1635230706,Ghc
start,87f363fcff,6,1635230706,Chameleon
attempts,87f363fcff,6,1635230721,Chameleon
complete,87f363fcff,6,1635230722,Chameleon
attempts,87f363fcff,7,1635230723,Ghc
start,87f363fcff,7,1635230722,Ghc
attempts,87f363fcff,7,1635230779,Ghc
skip,87f363fcff,7,1635230780,Ghc
start,87f363fcff,8,1635230780,Chameleon
attempts,87f363fcff,8,1635230829,Chameleon
complete,87f363fcff,8,1635230830,Chameleon
start,48c58c7fed,1,1634533274,Ghc
attempts,48c58c7fed,1,1634533304,Ghc
complete,48c58c7fed,1,1634533305,Ghc
start,48c58c7fed,2,1634533305,Chameleon
attempts,48c58c7fed,2,1634533325,Chameleon
complete,48c58c7fed,2,1634533326,Chameleon
start,48c58c7fed,3,1634533326,Ghc
attempts,48c58c7fed,3,1634533334,Ghc
complete,48c58c7fed,3,1634533335,Ghc
start,48c58c7fed,4,1634533335,Chameleon
attempts,48c58c7fed,4,1634533383,Chameleon
complete,48c58c7fed,4,1634533384,Chameleon
attempts,48c58c7fed,5,1634533396,Ghc
start,48c58c7fed,5,1634533384,Ghc
attempts,48c58c7fed,5,1634533403,Ghc
complete,48c58c7fed,5,1634533404,Ghc
start,48c58c7fed,6,1634533404,Chameleon
attempts,48c58c7fed,6,1634533490,Chameleon
complete,48c58c7fed,6,1634533491,Chameleon
start,48c58c7fed,7,1634533491,Ghc
attempts,48c58c7fed,7,1634533517,Ghc
complete,48c58c7fed,7,1634533518,Ghc
start,48c58c7fed,8,1634533518,Chameleon
attempts,48c58c7fed,8,1634533562,Chameleon
complete,48c58c7fed,8,1634533563,Chameleon
attempts,cdb66c86f0,1,1634628243,Chameleon
start,cdb66c86f0,1,1634628221,Chameleon
attempts,cdb66c86f0,1,1634628252,Chameleon
complete,cdb66c86f0,1,1634628253,Chameleon
start,cdb66c86f0,2,1634628253,Ghc
attempts,cdb66c86f0,2,1634628315,Ghc
complete,cdb66c86f0,2,1634628316,Ghc
attempts,cdb66c86f0,3,1634628328,Chameleon
start,cdb66c86f0,3,1634628316,Chameleon
attempts,cdb66c86f0,3,1634628360,Chameleon
complete,cdb66c86f0,3,1634628361,Chameleon
start,cdb66c86f0,4,1634628361,Ghc
attempts,cdb66c86f0,4,1634628365,Ghc
complete,cdb66c86f0,4,1634628366,Ghc
start,cdb66c86f0,5,1634628366,Chameleon
attempts,cdb66c86f0,5,1634628392,Chameleon
complete,cdb66c86f0,5,1634628393,Chameleon
start,cdb66c86f0,6,1634628393,Ghc
attempts,cdb66c86f0,6,1634628410,Ghc
complete,cdb66c86f0,6,1634628411,Ghc
start,cdb66c86f0,7,1634628411,Chameleon
attempts,cdb66c86f0,7,1634628440,Chameleon
complete,cdb66c86f0,7,1634628441,Chameleon
start,cdb66c86f0,8,1634628441,Ghc
attempts,cdb66c86f0,8,1634628518,Ghc
complete,cdb66c86f0,8,1634628519,Ghc
start,954efeff03,1,1634544878,Chameleon
attempts,954efeff03,1,1634544925,Chameleon
complete,954efeff03,1,1634544926,Chameleon
start,954efeff03,2,1634544926,Ghc
