event_name,participant_id,task,time,treatment
start,153374cea6,1,1639522813,Ghc
attempts,153374cea6,1,1639522923,Ghc
complete,153374cea6,1,1639522924,Ghc
start,153374cea6,2,1639522924,Chameleon
attempts,153374cea6,2,1639523011,Chameleon
complete,153374cea6,2,1639523012,Chameleon
start,153374cea6,3,1639523012,Ghc
attempts,153374cea6,3,1639523150,Ghc
complete,153374cea6,3,1639523151,Ghc
attempts,153374cea6,4,1639523208,Chameleon
start,153374cea6,4,1639523151,Chameleon
attempts,153374cea6,4,1639523263,Chameleon
complete,153374cea6,4,1639523264,Chameleon
start,153374cea6,5,1639523264,Ghc
attempts,153374cea6,5,1639523395,Ghc
skip,153374cea6,5,1639523396,Ghc
start,153374cea6,6,1639523396,Chameleon
attempts,153374cea6,6,1639523466,Chameleon
complete,153374cea6,6,1639523467,Chameleon
start,153374cea6,7,1639523467,Ghc
attempts,153374cea6,7,1639523605,Ghc
complete,153374cea6,7,1639523606,Ghc
start,153374cea6,8,1639523606,Chameleon
attempts,153374cea6,8,1639523684,Chameleon
complete,153374cea6,8,1639523685,Chameleon
start,6cd2f6a2dc,1,1639495559,Chameleon
attempts,6cd2f6a2dc,1,1639495704,Chameleon
complete,6cd2f6a2dc,1,1639495705,Chameleon
start,6cd2f6a2dc,2,1639495705,Ghc
attempts,6cd2f6a2dc,2,1639495783,Ghc
complete,6cd2f6a2dc,2,1639495784,Ghc
start,6cd2f6a2dc,3,1639495784,Chameleon
attempts,6cd2f6a2dc,3,1639495852,Chameleon
complete,6cd2f6a2dc,3,1639495853,Chameleon
start,6cd2f6a2dc,4,1639495853,Ghc
attempts,6cd2f6a2dc,4,1639496125,Ghc
complete,6cd2f6a2dc,4,1639496126,Ghc
start,6cd2f6a2dc,5,1639496126,Chameleon
attempts,6cd2f6a2dc,5,1639496262,Chameleon
skip,6cd2f6a2dc,5,1639496263,Chameleon
start,6cd2f6a2dc,6,1639496263,Ghc
attempts,6cd2f6a2dc,6,1639496333,Ghc
complete,6cd2f6a2dc,6,1639496334,Ghc
start,6cd2f6a2dc,7,1639496334,Chameleon
attempts,6cd2f6a2dc,7,1639496442,Chameleon
complete,6cd2f6a2dc,7,1639496443,Chameleon
start,6cd2f6a2dc,8,1639496443,Ghc
attempts,6cd2f6a2dc,8,1639496540,Ghc
complete,6cd2f6a2dc,8,1639496541,Ghc
start,b870d3b6ff,1,1639455162,Ghc
attempts,b870d3b6ff,1,1639455340,Ghc
complete,b870d3b6ff,1,1639455341,Ghc
start,b870d3b6ff,2,1639455341,Chameleon
attempts,b870d3b6ff,2,1639455509,Chameleon
complete,b870d3b6ff,2,1639455510,Chameleon
start,b870d3b6ff,3,1639455510,Ghc
attempts,b870d3b6ff,3,1639455679,Ghc
skip,b870d3b6ff,3,1639455680,Ghc
attempts,b870d3b6ff,4,1639455687,Chameleon
start,b870d3b6ff,4,1639455680,Chameleon
attempts,b870d3b6ff,4,1639455809,Chameleon
complete,b870d3b6ff,4,1639455810,Chameleon
start,b870d3b6ff,5,1639455810,Ghc
attempts,b870d3b6ff,5,1639456047,Ghc
complete,b870d3b6ff,5,1639456048,Ghc
start,b870d3b6ff,6,1639456048,Chameleon
attempts,b870d3b6ff,6,1639456168,Chameleon
complete,b870d3b6ff,6,1639456169,Chameleon
start,b870d3b6ff,7,1639456169,Ghc
attempts,b870d3b6ff,7,1639456315,Ghc
complete,b870d3b6ff,7,1639456316,Ghc
start,b870d3b6ff,8,1639456316,Chameleon
attempts,b870d3b6ff,8,1639456447,Chameleon
complete,b870d3b6ff,8,1639456448,Chameleon
start,774730f5ea,1,1639295797,Chameleon
attempts,774730f5ea,1,1639295940,Chameleon
complete,774730f5ea,1,1639295941,Chameleon
attempts,774730f5ea,2,1639296056,Ghc
attempts,774730f5ea,2,1639295968,Ghc
start,774730f5ea,2,1639295941,Ghc
attempts,774730f5ea,2,1639296105,Ghc
complete,774730f5ea,2,1639296106,Ghc
start,774730f5ea,3,1639296106,Chameleon
attempts,774730f5ea,3,1639296202,Chameleon
complete,774730f5ea,3,1639296203,Chameleon
attempts,774730f5ea,4,1639296224,Ghc
start,774730f5ea,4,1639296203,Ghc
attempts,774730f5ea,4,1639296262,Ghc
complete,774730f5ea,4,1639296263,Ghc
start,774730f5ea,5,1639296263,Chameleon
attempts,774730f5ea,5,1639296278,Chameleon
complete,774730f5ea,5,1639296279,Chameleon
start,774730f5ea,6,1639296279,Ghc
attempts,774730f5ea,6,1639296382,Ghc
complete,774730f5ea,6,1639296383,Ghc
attempts,774730f5ea,7,1639296460,Chameleon
start,774730f5ea,7,1639296383,Chameleon
attempts,774730f5ea,7,1639296484,Chameleon
complete,774730f5ea,7,1639296485,Chameleon
start,774730f5ea,8,1639296485,Ghc
attempts,774730f5ea,8,1639296578,Ghc
complete,774730f5ea,8,1639296579,Ghc
start,2276a24e48,1,1639245689,Chameleon
attempts,2276a24e48,1,1639245935,Chameleon
complete,2276a24e48,1,1639245936,Chameleon
start,2276a24e48,2,1639245936,Ghc
attempts,2276a24e48,2,1639246191,Ghc
complete,2276a24e48,2,1639246192,Ghc
start,2276a24e48,3,1639246192,Chameleon
attempts,2276a24e48,3,1639246360,Chameleon
complete,2276a24e48,3,1639246361,Chameleon
start,2276a24e48,4,1639246361,Ghc
attempts,2276a24e48,4,1639246569,Ghc
complete,2276a24e48,4,1639246570,Ghc
start,2276a24e48,5,1639246570,Chameleon
attempts,2276a24e48,5,1639246795,Chameleon
complete,2276a24e48,5,1639246796,Chameleon
start,2276a24e48,6,1639246796,Ghc
attempts,2276a24e48,6,1639247087,Ghc
complete,2276a24e48,6,1639247088,Ghc
start,2276a24e48,7,1639247088,Chameleon
attempts,2276a24e48,7,1639247278,Chameleon
complete,2276a24e48,7,1639247279,Chameleon
start,2276a24e48,8,1639247279,Ghc
attempts,2276a24e48,8,1639247415,Ghc
complete,2276a24e48,8,1639247416,Ghc
start,40d830aee1,1,1639826624,Chameleon
attempts,40d830aee1,1,1639826721,Chameleon
complete,40d830aee1,1,1639826722,Chameleon
attempts,40d830aee1,2,1639826886,Ghc
start,40d830aee1,2,1639826722,Ghc
attempts,40d830aee1,2,1639826888,Ghc
complete,40d830aee1,2,1639826889,Ghc
start,40d830aee1,3,1639826889,Chameleon
attempts,40d830aee1,3,1639826986,Chameleon
complete,40d830aee1,3,1639826987,Chameleon
start,40d830aee1,4,1639826987,Ghc
attempts,40d830aee1,4,1639827054,Ghc
complete,40d830aee1,4,1639827055,Ghc
start,40d830aee1,5,1639827055,Chameleon
attempts,40d830aee1,5,1639827201,Chameleon
complete,40d830aee1,5,1639827202,Chameleon
attempts,40d830aee1,6,1639827290,Ghc
start,40d830aee1,6,1639827202,Ghc
attempts,40d830aee1,6,1639827308,Ghc
complete,40d830aee1,6,1639827309,Ghc
start,40d830aee1,7,1639827309,Chameleon
attempts,40d830aee1,7,1639827427,Chameleon
complete,40d830aee1,7,1639827428,Chameleon
start,40d830aee1,8,1639827428,Ghc
attempts,40d830aee1,8,1639827509,Ghc
complete,40d830aee1,8,1639827510,Ghc
start,232abec3eb,1,1639615559,Chameleon
attempts,232abec3eb,1,1639615712,Chameleon
complete,232abec3eb,1,1639615713,Chameleon
attempts,232abec3eb,2,1639615914,Ghc
start,232abec3eb,2,1639615713,Ghc
attempts,232abec3eb,2,1639615965,Ghc
complete,232abec3eb,2,1639615966,Ghc
start,232abec3eb,3,1639615966,Chameleon
attempts,232abec3eb,3,1639616063,Chameleon
complete,232abec3eb,3,1639616064,Chameleon
attempts,232abec3eb,4,1639616145,Ghc
start,232abec3eb,4,1639616064,Ghc
attempts,232abec3eb,4,1639616194,Ghc
complete,232abec3eb,4,1639616195,Ghc
start,232abec3eb,5,1639616195,Chameleon
attempts,232abec3eb,5,1639616322,Chameleon
complete,232abec3eb,5,1639616323,Chameleon
attempts,232abec3eb,6,1639616437,Ghc
start,232abec3eb,6,1639616323,Ghc
attempts,232abec3eb,6,1639616453,Ghc
complete,232abec3eb,6,1639616454,Ghc
start,232abec3eb,7,1639616454,Chameleon
attempts,232abec3eb,7,1639616595,Chameleon
complete,232abec3eb,7,1639616596,Chameleon
start,232abec3eb,8,1639616596,Ghc
attempts,232abec3eb,8,1639616742,Ghc
complete,232abec3eb,8,1639616743,Ghc
start,0205070858,1,1639246490,Chameleon
attempts,0205070858,1,1639246704,Chameleon
complete,0205070858,1,1639246705,Chameleon
start,0205070858,2,1639246705,Ghc
