event_name,participant_id,task,time,mode,interaction_group
start,310cf8ba68,1,1656306224,Advanced,No interaction
attempts,310cf8ba68,1,1656306293,Advanced,No interaction
complete,310cf8ba68,1,1656306294,Advanced,No interaction
start,310cf8ba68,2,1656306294,Basic,No interaction
attempts,310cf8ba68,2,1656306370,Basic,No interaction
complete,310cf8ba68,2,1656306371,Basic,No interaction
start,310cf8ba68,3,1656306371,Balanced,No interaction
attempts,310cf8ba68,3,1656306424,Balanced,No interaction
complete,310cf8ba68,3,1656306425,Balanced,No interaction
start,310cf8ba68,4,1656306425,Advanced,No interaction
attempts,310cf8ba68,4,1656306472,Advanced,No interaction
complete,310cf8ba68,4,1656306473,Advanced,No interaction
start,310cf8ba68,5,1656306473,Basic,No interaction
attempts,310cf8ba68,5,1656306532,Basic,No interaction
complete,310cf8ba68,5,1656306533,Basic,No interaction
start,310cf8ba68,6,1656306533,Balanced,No interaction
attempts,310cf8ba68,6,1656306584,Balanced,No interaction
complete,310cf8ba68,6,1656306585,Balanced,No interaction
start,310cf8ba68,7,1656306585,Advanced,No interaction
attempts,310cf8ba68,7,1656306621,Advanced,No interaction
complete,310cf8ba68,7,1656306622,Advanced,No interaction
start,310cf8ba68,8,1656306622,Basic,No interaction
attempts,310cf8ba68,8,1656306680,Basic,No interaction
complete,310cf8ba68,8,1656306681,Basic,No interaction
start,310cf8ba68,9,1656306681,Balanced,No interaction
attempts,310cf8ba68,9,1656306759,Balanced,No interaction
complete,310cf8ba68,9,1656306760,Balanced,No interaction
start,2999194fb1,1,1656470074,Basic,No interaction
attempts,2999194fb1,1,1656470218,Basic,No interaction
complete,2999194fb1,1,1656470219,Basic,No interaction
start,2999194fb1,2,1656470219,Balanced,No interaction
attempts,2999194fb1,2,1656470382,Balanced,No interaction
skip,2999194fb1,2,1656470383,Balanced,No interaction
start,2999194fb1,3,1656470383,Advanced,No interaction
attempts,2999194fb1,3,1656470505,Advanced,No interaction
complete,2999194fb1,3,1656470506,Advanced,No interaction
start,2999194fb1,4,1656470506,Basic,No interaction
attempts,2999194fb1,4,1656470577,Basic,No interaction
complete,2999194fb1,4,1656470578,Basic,No interaction
start,2999194fb1,5,1656470578,Balanced,No interaction
attempts,2999194fb1,5,1656470676,Balanced,No interaction
complete,2999194fb1,5,1656470677,Balanced,No interaction
start,2999194fb1,6,1656470677,Advanced,No interaction
